Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Source,SMA_5,SMA_20,SMA_50,SMA_5_20_Ratio,Returns_1d,Returns_5d,Returns_20d,RSI,Volatility_5d,Volatility_20d,High_Low_Range,Volume_SMA_20,Volume_Ratio,Close_Lag_1,Close_Lag_5,Close_Lag_20,Returns_Lag_1,Returns_Lag_5,Volume_Lag_1,Day_of_Week,Month,Quarter,Target_1d,Target_5d,Target_20d
1999-07-14,46.376618313040176,46.63474420346526,46.33359733130266,46.54870223999024,888200,0.0,0.0,Barchart (via proxy),46.58311767578125,46.602477645874025,46.39468559265137,0.9995845720856328,-0.0036829346556090936,-0.005514612398501262,0.07768943391303984,59.13048138073122,0.010757913719866967,0.02916286326535999,0.006469500924214392,927020.0,0.9581238808224203,46.72077178955078,46.80682373046875,43.193058013916016,-0.007313055969392246,-0.03546101966821458,969600.0,2,7,3,46.7637939453125,46.72077178955078,42.42387008666992
1999-07-15,46.806814914903406,46.806814914903406,46.462647158176175,46.7637939453125,864700,0.0,0.0,Barchart (via proxy),46.67776107788086,46.69497203826904,46.36112892150879,0.9996314172674934,0.004620788442464274,0.01022275032701403,0.041187418522188546,59.82900185526506,0.009311396279288894,0.02793124238190238,0.007359705611775526,935740.0,0.9240814756235707,46.54870223999024,46.29057693481445,44.91390609741211,-0.0036829346556090936,-0.011029306295745278,888200.0,3,7,3,46.84984970092773,45.77432632446289,41.86339569091797
1999-07-16,46.63474478953688,47.32308050598761,46.63474478953688,46.84984970092773,476700,0.0,0.0,Barchart (via proxy),46.789615631103516,46.800374031066895,46.34650230407715,0.999770121496118,0.0018402218544513183,0.01208178431002982,0.04711565900577863,56.68195590569842,0.009245220454130901,0.02789358857044573,0.014692378328741996,911790.0,0.5228177540881124,46.7637939453125,46.29057693481445,44.7418098449707,0.004620788442464274,0.0,864700.0,4,7,3,47.79632186889648,44.09650421142578,43.54482269287109
1999-07-19,46.978923025053966,48.69976269630136,46.978923025053966,47.79632186889648,646100,0.0,0.0,Barchart (via proxy),46.93588790893555,46.959550857543945,46.36715286254883,0.9994960993413208,0.020202245557044085,0.015539403023084208,0.07135928647639567,59.82915407660362,0.010616272688528253,0.028128492390066047,0.036003600360035984,913400.0,0.7073571272169915,46.84984970092773,47.06496047973633,44.61278533935547,0.0018402218544513183,0.016728751210259185,476700.0,0,7,3,46.89287185668945,43.537235260009766,43.37237548828125
1999-07-20,47.58120759036563,48.48464824081561,46.720787923270414,46.89287185668945,886100,0.0,0.0,Barchart (via proxy),46.97030792236328,46.91222801208496,46.2845524597168,1.0012380548257773,-0.0189020823544781,0.003683587846405434,-0.019784075855490135,51.27125458004828,0.014145627826736284,0.023441656911090934,0.03761467889908247,867155.0,1.0218473052683776,47.79632186889648,46.72077178955078,47.83932876586914,0.020202245557044085,-0.007313055969392246,646100.0,1,7,3,46.72077178955078,45.08599853515625,43.45858001708984
1999-07-21,46.806813726548114,46.84983469504678,46.2045201675668,46.72077178955078,626100,0.0,0.0,Barchart (via proxy),47.00472183227539,46.90792541503906,46.24583343505859,1.0020635407850567,-0.003670068825484374,0.003696548803302946,-0.001838448629060796,29.166792018641743,0.01414460606449737,0.022940245555661615,0.013812154696132579,840165.0,0.7452107621717162,46.89287185668945,46.54870223999024,46.80682373046875,-0.0189020823544781,-0.0036829346556090936,886100.0,2,7,3,45.77432632446289,45.47317886352539,42.984336853027344
1999-07-22,46.89287189254188,46.97891385931718,45.77432632446289,45.77432632446289,579500,0.0,0.0,Barchart (via proxy),46.806828308105466,46.95955123901367,46.18904556274414,0.9967477770362225,-0.02025748781186798,-0.021158839721318046,0.023077217552661233,29.341431505350954,0.01662994119446829,0.021059995718214455,0.0263157894736843,801555.0,0.7229697275919931,46.72077178955078,46.7637939453125,44.7418098449707,-0.003670068825484374,0.004620788442464274,626100.0,3,7,3,44.09650421142578,44.7418098449707,42.46699523925781
1999-07-23,45.68828046100896,45.68828046100896,44.05348323170732,44.09650421142578,767200,0.0,0.0,Barchart (via proxy),46.25615921020508,46.92513427734375,46.059122009277345,0.9857437793745074,-0.03665421750053022,-0.058769569317261294,-0.015369914918793581,23.03928173716946,0.02138880806679791,0.022711288994083822,0.03707317073170734,769470.0,0.9970499174756651,45.77432632446289,46.84984970092773,44.78484344482422,-0.02025748781186798,0.0018402218544513183,579500.0,4,7,3,43.537235260009766,44.26858139038086,42.984336853027344
1999-07-26,44.22557099534589,44.56973886301395,43.49421427655126,43.537235260009766,749500,0.0,0.0,Barchart (via proxy),45.40434188842774,46.82188320159912,45.92231491088867,0.969724812069862,-0.012682840996522948,-0.0891090871086111,-0.04528331843500066,22.381068798470395,0.01210960389613369,0.022416141492141682,0.024703557312252957,751370.0,0.9975112128511918,44.09650421142578,47.79632186889648,45.60225677490234,-0.03665421750053022,0.020202245557044085,767200.0,0,7,3,45.08599853515625,43.236114501953125,43.88972854614258
1999-07-27,44.22557871578304,45.25808249903089,43.58026385125313,45.08599853515625,592200,0.0,0.0,Barchart (via proxy),45.04296722412109,46.785316467285156,45.857783737182615,0.9627586308113912,0.035573303309157644,-0.038531939930129155,-0.015961965371156572,40.29138081984696,0.02697014203176701,0.023919934008343018,0.037213740458015294,741750.0,0.7983822042467138,43.537235260009766,46.89287185668945,45.81733322143555,-0.012682840996522948,-0.0189020823544781,749500.0,1,7,3,45.47317886352539,41.85942459106445,43.760398864746094
